,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,19,フアスカル・イノア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アトランタ・ブレーブス
1,22,カービー・イェイツ,3.28,61,0,0,0,0,7,2,9,5,.778,60.1,35,9,80,11.93,37,5,5,1,22,22,.167,2.16,1.19,アトランタ・ブレーブス
2,26,ライセル・イグレシアス,2.75,58,0,0,0,0,5,4,0,33,.556,55.2,51,7,68,10.99,15,0,0,0,23,17,.238,4.53,1.19,アトランタ・ブレーブス
3,30,カイル・ライト,6.97,9,7,0,0,0,1,3,0,0,.250,31,40,5,34,9.87,17,4,2,0,26,24,.303,2.00,1.84,アトランタ・ブレーブス
4,32,コリン・マキュー,4.30,41,1,0,0,0,4,1,7,0,.800,58.2,70,5,47,7.21,22,4,0,0,34,28,.293,2.14,1.57,アトランタ・ブレーブス
5,33,Ａ．Ｊ．ミンター,3.76,70,0,0,0,0,3,6,21,10,.333,64.2,56,6,82,11.41,21,0,1,1,28,27,.236,3.90,1.19,アトランタ・ブレーブス
6,36,イアン・アンダーソン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アトランタ・ブレーブス
7,38,ピアース・ジョンソン,4.02,67,0,0,0,0,2,6,12,13,.250,62.2,63,10,90,12.93,30,0,4,0,34,28,.257,3.00,1.48,アトランタ・ブレーブス
8,40,マイク・ソロカ,6.40,7,6,0,0,1,2,2,0,0,.500,32.1,36,9,29,8.07,12,4,2,0,23,23,.281,2.42,1.48,アトランタ・ブレーブス
9,45,ブラッド・ハンド,5.53,60,0,0,0,0,5,3,5,1,.625,53.2,54,6,59,9.89,22,5,3,0,33,33,.270,2.68,1.42,アトランタ・ブレーブス
10,46,ディラン・ドッド,7.60,7,7,0,0,1,2,2,0,0,.500,34.1,53,9,15,3.93,12,1,1,0,29,29,.351,1.25,1.89,アトランタ・ブレーブス
11,49,コルビー・アラード,6.57,4,3,0,0,0,0,1,0,0,.000,12.1,16,2,13,9.49,4,0,1,0,9,9,.308,3.25,1.62,アトランタ・ブレーブス
12,50,チャーリー・モートン,3.64,30,30,0,0,12,14,12,0,0,.538,163.1,150,14,183,10.08,83,12,4,2,70,66,.244,2.20,1.43,アトランタ・ブレーブス
13,51,マイケル・トンキン,4.28,45,0,0,0,0,7,3,2,1,.700,80,64,13,75,8.44,23,2,2,1,41,38,.217,3.26,1.09,アトランタ・ブレーブス
14,52,ディラン・リー,4.18,24,1,0,0,0,1,0,6,0,1.000,23.2,24,4,24,9.13,8,0,0,0,14,11,.264,3.00,1.35,アトランタ・ブレーブス
15,53,ジャクソン・スティーブンス,3.00,5,0,0,0,0,0,0,0,0,.000,12,13,1,11,8.25,5,0,1,0,4,4,.283,2.20,1.50,アトランタ・ブレーブス
16,54,マックス・フリード,2.55,14,14,1,1,7,8,1,0,0,.889,77.2,70,7,80,9.27,18,2,3,0,24,22,.242,4.44,1.13,アトランタ・ブレーブス
17,55,ブライス・エルダー,3.81,31,31,0,0,16,12,4,0,0,.750,174.2,160,19,128,6.60,63,8,11,1,79,74,.245,2.03,1.28,アトランタ・ブレーブス
18,56,ヤニー・チリーノス,5.40,20,9,0,0,0,5,5,1,0,.500,85,91,15,53,5.61,27,5,3,0,53,51,.275,1.96,1.39,アトランタ・ブレーブス
